id	title	pids
32197	太常引（四月初八日庆六十）	61002
32198	杂曲歌辞。十二月乐辞。正月	13790
32199	酬南园新亭宴会璩新第慰庆之作，时任宾客	9776
32200	闻所知游樊川有寄	31159
32201	题灵隐寺皖公院	19778
32202	青云干吕	9364,9365,10136
32203	送从叔尉渑池	20019
32204	落第书怀寄友人	29938
32205	点绛唇（和鲁如晦酴醿二首）	50194
32206	都门晚望	20816
32207	东皇太一词	70436
32208	摊破浣溪沙（杨梅）	56573
32209	赠吴生	41283
32210	五松山送殷淑	71814
32211	独醉	13720
32212	梁郊祀乐章。庆平	35328
32213	送王秘书归江东	5823
32214	上裴中丞	10022
32215	摸鱼儿（寿柴守，八月二十七日生，正是夫子绂麟之日）	66540
32216	冯叟居	26073
32217	【中吕】山坡羊_寓兴鹏抟九	67693
32218	题辛道士房	58773
32219	郊庙歌辞。五郊乐章。舒和	67344,67789,68230,68671,69100
32220	酬裴杰秀才新樱桃	9787
32221	酬元郎中同制加朝散大夫，书怀见赠	15468
32222	水调歌头（代寿昌州守叔祖）	58804
32223	望江南·天上月	68970
32224	【双调】水仙子　隐者	67590
32225	淮西	28500
32226	送毕侍御谪居	3736
32227	送卢十四弟侍御护韦尚书灵榇归上都二十韵	3592
32228	题水帘洞	29923
32229	薛阳陶觱篥歌	30570
32230	秋山寄卫尉张卿及王征君	71631
32231	柳梢青（饯别蒋德施、粟子求诸公）	53185
32232	除官去未间	14476
32233	一剪梅（秋雨感悲）	53693
32234	念奴娇（叔母生日刘左史光祖以余春时所与为寿词韵见贶馥用韵谢之）	56933,57143
32235	赎鸡	14362,14419
32236	下第寄欧阳瓒	27312
32237	江南曲（一作李益诗）	4534
32238	摸鱼儿（水东桃花下赋）	60661
32239	裴仆射东亭	4046
32240	西江月（贺子忱家赏瑞香）	50585
32241	西江月（送钱待制）	45232
32242	送德林郎中学士赴东府（得江）	36406
32243	宿松门寺	25912
32244	十二月一日三首	3175
32245	翠碧鸟（以上并在醴陵作）	31591
32246	寄卢少尹	16460
32247	东鲁见狄博通	71483
32248	齐国佐不辱命	70196
32249	侍宴应制得分字	35855
32250	奉送家兄归王屋山隐居二首	11155
32251	春题华阳观（观即华阳公主故宅有旧内人存焉）	14730
32252	户部尚书崔公挽歌	30777
32253	雨中花	43079,44424,44636,45214,45910,45911,45912,46024,46085,46475,50335,53140,56843,62296,62554,63028,63960
32254	烧金曲	26940
32255	谢李续主簿	8246
32256	羁旅行	12560
32257	春日旅次	20799
32258	浣溪沙（上元游静林寺）	47399
32259	别鹤曲	8156
32260	白纻辞二首（前首一作《香风词》）	49662
32261	减字木兰花（再用韵戏古岩出妾）	60384
32262	僧院听琴（一作宿藏公院听齐孝若弹琴）	10073
32263	春日与王右丞过新昌里访吕逸人不遇	54736
32264	南乡子（和韵，己未八月十日郊行）	58725
32265	送青苗郑判官归江西	65563
32266	奉寄章十侍御	3093
32267	蔬食	28289
32268	王秀才自越见寻不遇，题诗而回，因以酬寄	21859
32269	东晋	31515
32270	忆瑶姬（南徐连沧观赏月）	49266
32271	陇西行四首	35748
32272	郎月行	50125
32273	赠三惠大师	34753
32274	江上别柳中庸	7528
32275	早雁	21243
32276	齐天乐（西湖十咏·南屏晚钟）	60026
32277	天鉴	31654,31744
32278	望西飞（清商怨三首）	46407
32279	宿澄泉兰若	31373
32280	鸣皋歌奉饯从翁清归五崖山居（河南府陆浑县有鸣皋山）	71444
32281	送杨炼师却归贞浩岩	30291
32282	宿吉祥寺寄庐山隐者	17346
32283	云中至日	67033
32284	赠秋浦金明府长	32458,32598
32285	招萧处士	14642
32286	相和歌辞。子夜警歌二首	7212
32287	南海苦雨，寄赠王四侍御	17302
32288	叹燕	67008
32289	衡阳春日游僧院	5965,6086
32290	鹧鸪天（和谢胡盘居贶橘为寿）	60443
32291	九日雨中言怀	23423
32292	途中作	16502,21288,29243,61084
32293	望蓟门	56373
32294	花落	35369
32295	闲居	2241,12702,14273,14296,14368,14426,17107,17151,18781,19303,19641,21028,31636,31727,39963,42369,42409,59370
32296	石鼓歌	10307,72826
32297	忆旧游（寄刘苏州）	15703
32298	赠写御容李长史	21041
32299	题綦毋校书别业	56874
32300	上书谏猎	70279
32301	如梦令（次韵子文邢文）	62965,63410
32302	乳燕飞	56202,57620,60466,60469,60748,64550,64555
32303	严公仲夏枉驾草堂，兼携酒馔（得寒字）	3014
32304	下第出京	33597
32305	题菖蒲废观	30615
32306	忽梦游仙	25552
32307	鹅赠鹤	17067
32308	负谪后登干越亭作	66756
32309	红林檎近（双调·冬景）	46936
32310	过贾浪仙旧地	34808
32311	中秋夜怀	24030
32312	伤乱	31685,31775
32313	陪太原郑行军中丞登汾上阁中丞诗曰汾楼…辄书即事上答	10747
32314	春日宿崇贤里	29898
32315	与释惠江互谑	41901
32316	水龙吟（观竞渡）	59212
32317	君马黄	71397
32318	望定州寺	8499
32319	吴音子	46026
32320	水调歌头（汪德邵无尽藏）	52987
32321	题家园新池	19385
32322	赠崔融二十韵	29657
32323	素冠	6774
32324	临川逢陈百年	29203
32325	哭南流人	24014
32326	临江仙·峭壁参差十二峰	69988
32327	贺新郎（西湖）	63665
32328	过许州	68911
32329	青玉案（闲居）	61726
32330	送张五归山	51192
32331	春日五门西望	8348,8443
32332	和友人	33050
32333	题段上人院壁画古松	8763
32334	浣溪沙（清明）	51496
32335	定风波·江水沉沉帆影过	42961
32336	渔具诗。鸣桹	27818
32337	徐步	2937
32338	重云李观疾赠之	10203
32339	拟齐梁体寄冯使君三首	39242
32340	山村叟	26932
32341	辋川集。华子冈	53870
32342	西江月（寿李知丞）	56261
32343	如梦令（寄蔡坚老）	53833
32344	奉和虢州刘给事使君三堂新题二十一咏。梯桥	10474
32345	回棹	3613
32346	晚兴	15578,15647
32347	路上寄银匙与阿龟	15557
32348	桂阳北岭偶过野人所居，聊书即事呈王永州邕李道州圻	6692
32349	夕阳	28094,31177,31977,35856,70766
32350	龙门八咏。水西渡	65938
32351	送唐中丞开淘西湖夏日游泛因书示郡人	20711
32352	酬牛秀才登楼见示	23389
32353	吊水部贾员外嵩	31200
32354	蜘蛛讽	12400,12453
32355	暮雪	69402
32356	雨中花（贺欧文建楼与桥）	66517,66520
32357	嵩少	12231
32358	琴曲歌辞。昭君怨	8706,8728
32359	游华山云际寺（一作游少华山甘露寺）	28719,28828
32360	秦中儿童语	42131
32361	挂树藤	19083
32362	太常引	52944,55416,55417,56839,63842
32363	嘲刘师老	43296
32364	题扬子津亭	32010
32365	奉和七夕宴两仪殿应制	31518,32372
32366	生查子（梅和柳）	56438
32367	牛口谣	42184
32368	渔家傲（红白莲不可并栽，用酒盆种之，遂皆有花，呈周倅）	53164
32369	和李大夫嗣真奉使存抚河东	29680
32370	霜天晓角（和叶检阅仁叔韵）	58675
32371	上洛桥	7286
32372	沁园春（代人送阎戎）	59811,59945
32373	船板床	68894
32374	水调歌头（再用韵呈南涧）	54572
32375	补乐歌十首。丰年	4182,4230
32376	高士咏。混元皇帝	41013
32377	李士曹厅对雨	3757
32378	送从弟游江淮兼谒鄱阳刘太守	57118
32379	暮行河堤上	10201
32380	宫中作	58140
32381	元日喜闻大礼寄上翰林四学士中书六舍人二十韵	6251
32382	始为奉礼忆昌谷山居	13106,13155
32383	别徐明府	25385
32384	秋村	31801
32385	投寄韦右丞	30263
32386	忆旧游慢（荷花，泛东湖用方时父韵）	58276
